	Mean	MCSE	StdDev	MAD	2.5%	50%	97.5%	ESS_bulk	ESS_tail	ESS_bulk/s	R_hat
theta_d_pr[4,100]	-0.398	0.003257	0.6097	0.5835	-1.674	-0.3771	0.7473	35570.0	28270.0	1.864	1.0
theta_d_pr[4,101]	1.028	0.00333	0.6571	0.645	-0.211	1.008	2.37	39420.0	28740.0	2.065	1.0
theta_d_pr[4,102]	1.236	0.002686	0.5772	0.5626	0.1268	1.223	2.416	47040.0	27550.0	2.465	1.0
theta_d_pr[4,103]	-1.777	0.002953	0.6212	0.6112	-3.071	-1.748	-0.6351	45210.0	29460.0	2.369	1.0
theta_d_pr[4,104]	-0.6929	0.002463	0.5495	0.5329	-1.821	-0.6791	0.3495	50220.0	29260.0	2.631	1.0
theta_d_pr[4,105]	0.55	0.003353	0.7838	0.7743	-0.9942	0.5477	2.088	54800.0	29980.0	2.871	1.0
theta_d_pr[4,106]	-0.2885	0.004344	0.9887	0.9965	-2.204	-0.3004	1.662	51990.0	29620.0	2.724	1.0
theta_d_pr[4,107]	-0.9311	0.003432	0.8021	0.7894	-2.517	-0.9311	0.6373	54740.0	29640.0	2.868	1.0
theta_d_pr[4,108]	-0.5875	0.003033	0.6903	0.6699	-1.975	-0.5759	0.7556	52000.0	29530.0	2.724	1.0
theta_d_pr[4,109]	-1.024	0.002532	0.5612	0.5522	-2.175	-1.005	0.03549	50200.0	28750.0	2.63	1.0
theta_d_pr[4,110]	1.163	0.002488	0.5128	0.4964	0.2061	1.143	2.229	43470.0	27990.0	2.277	1.0
theta_d_pr[4,111]	0.5061	0.002702	0.6588	0.6443	-0.7922	0.4998	1.818	59710.0	28320.0	3.129	1.0
theta_d_pr[4,112]	0.2346	0.002106	0.4648	0.4533	-0.6658	0.2272	1.166	48960.0	29670.0	2.565	1.0
theta_d_pr[4,113]	0.7129	0.002222	0.5208	0.504	-0.2994	0.7048	1.769	55570.0	28940.0	2.911	1.0
theta_d_pr[4,114]	1.251	0.003027	0.6826	0.6693	-0.08227	1.245	2.615	51200.0	28850.0	2.683	1.0
theta_d_pr[4,115]	0.9142	0.002841	0.6624	0.6486	-0.3822	0.9108	2.229	54740.0	29790.0	2.868	1.0
theta_d_pr[4,116]	-0.07427	0.002066	0.4746	0.4619	-1.032	-0.06728	0.8475	53330.0	28820.0	2.794	1.0
theta_d_pr[4,117]	-0.4203	0.002662	0.6199	0.5944	-1.661	-0.4169	0.8052	54640.0	28910.0	2.863	1.0
theta_d_pr[4,118]	0.4475	0.002998	0.71	0.6902	-0.9372	0.4413	1.864	56360.0	29580.0	2.953	1.0
theta_d_pr[4,119]	-0.3393	0.003532	0.818	0.806	-1.948	-0.3484	1.288	53910.0	30650.0	2.825	1.0
theta_d_pr[4,120]	0.1179	0.002325	0.5107	0.4984	-0.9058	0.1204	1.116	48660.0	27740.0	2.549	1.0
theta_d_pr[4,121]	0.3878	0.003454	0.7855	0.7754	-1.148	0.3788	1.944	51770.0	31850.0	2.712	1.0
theta_d_pr[4,122]	0.7281	0.003819	0.8179	0.8018	-0.9406	0.7444	2.302	46200.0	29990.0	2.42	1.0
theta_d_pr[4,123]	0.7318	0.003782	0.8178	0.7906	-0.9713	0.7629	2.277	48010.0	29040.0	2.515	1.0
theta_d_pr[4,124]	0.2525	0.002476	0.53	0.5104	-0.779	0.2449	1.317	46210.0	28530.0	2.421	1.0
theta_d_pr[4,125]	-0.9331	0.002433	0.4948	0.4854	-1.959	-0.9134	-0.01898	42600.0	28820.0	2.232	1.0
theta_d_pr[4,126]	-0.9616	0.002402	0.5359	0.5267	-2.064	-0.9435	0.04379	50740.0	29580.0	2.658	1.0
theta_d_pr[4,127]	0.256	0.004111	0.9281	0.9238	-1.588	0.2664	2.06	51360.0	30070.0	2.691	1.0
theta_d_pr[4,128]	0.2551	0.002188	0.4955	0.4831	-0.7239	0.256	1.234	51590.0	29390.0	2.703	1.0
theta_d_pr[4,129]	0.1428	0.002634	0.5736	0.5583	-1.014	0.1498	1.254	47860.0	29090.0	2.508	1.0
theta_d_pr[4,130]	-0.1825	0.002205	0.4522	0.434	-1.08	-0.1844	0.7252	42470.0	28150.0	2.225	1.0
theta_d_pr[4,131]	1.137	0.003062	0.6403	0.6176	-0.152	1.141	2.385	44460.0	28490.0	2.329	1.0
theta_d_pr[4,132]	0.5917	0.004088	0.9799	0.9737	-1.351	0.6045	2.489	57620.0	30180.0	3.019	1.0
theta_d_pr[4,133]	0.005366	0.003713	0.8395	0.826	-1.651	-0.0005924	1.685	51280.0	29850.0	2.687	1.0
theta_d_pr[4,134]	0.8768	0.002727	0.6045	0.5927	-0.2895	0.8651	2.097	49520.0	29570.0	2.594	1.0
theta_d_pr[4,135]	0.4285	0.003158	0.7454	0.7318	-1.055	0.4337	1.871	56050.0	28790.0	2.937	1.0
theta_d_pr[4,136]	0.03525	0.002296	0.5261	0.514	-1.005	0.03727	1.07	52750.0	27320.0	2.764	1.0
theta_d_pr[4,137]	0.902	0.003959	0.7537	0.7099	-0.67	0.9141	2.345	37590.0	25200.0	1.969	1.0
theta_d_pr[4,138]	0.3525	0.00233	0.486	0.4678	-0.5803	0.3408	1.349	44330.0	28900.0	2.323	1.0
theta_d_pr[4,139]	0.9864	0.00212	0.4706	0.46	0.08329	0.9763	1.93	49980.0	28660.0	2.619	1.0
theta_d_pr[4,140]	0.1727	0.001899	0.4141	0.3995	-0.6357	0.1695	1.004	47960.0	28070.0	2.513	1.0
theta_d_pr[4,141]	-0.01283	0.003527	0.8171	0.8128	-1.641	-0.006587	1.564	53710.0	30970.0	2.814	1.0
